fecha,cantidad
03/03/2022,128508
04/03/2022,126297
05/03/2022,58832
06/03/2022,55064
07/03/2022,153425
08/03/2022,104840
09/03/2022,120209
10/03/2022,117346
11/03/2022,128428
12/03/2022,57743
13/03/2022,28405
14/03/2022,106921
15/03/2022,127159
16/03/2022,120531
17/03/2022,117121
18/03/2022,124849
19/03/2022,67442
20/03/2022,31888
21/03/2022,118268
22/03/2022,109154
23/03/2022,118128
24/03/2022,24536
25/03/2022,112843
26/03/2022,49762
27/03/2022,22031
28/03/2022,108186
29/03/2022,97336
30/03/2022,94408
31/03/2022,98372
01/04/2022,89225
02/04/2022,24777
03/04/2022,14675
04/04/2022,77662
05/04/2022,75705
06/04/2022,70463
07/04/2022,66936
08/04/2022,74488
09/04/2022,29499
10/04/2022,12692
11/04/2022,67888
12/04/2022,69699
13/04/2022,75567
14/04/2022,22670
15/04/2022,12397
16/04/2022,23124
17/04/2022,6998
18/04/2022,92301
19/04/2022,101815
20/04/2022,114446
21/04/2022,108413
22/04/2022,115077
23/04/2022,43463
24/04/2022,17492
25/04/2022,116604
26/04/2022,108654
27/04/2022,115281
28/04/2022,129918
29/04/2022,132703
30/04/2022,46663
01/05/2022,1095
02/05/2022,111080
03/05/2022,126305
04/05/2022,130715
05/05/2022,153525
06/05/2022,151605
07/05/2022,57403
08/05/2022,29616
09/05/2022,156328
10/05/2022,176787
11/05/2022,161173
12/05/2022,167416
13/05/2022,203202
14/05/2022,88440
15/05/2022,41519
16/05/2022,176810
17/05/2022,206922
18/05/2022,2638
19/05/2022,197432
20/05/2022,209570
21/05/2022,110873
22/05/2022,51015
23/05/2022,224245
24/05/2022,208965
25/05/2022,36231
26/05/2022,209197
27/05/2022,230261
28/05/2022,113551
29/05/2022,57843
30/05/2022,198783
31/05/2022,189857
01/06/2022,159449
02/06/2022,160602
03/06/2022,175564
04/06/2022,42662
05/06/2022,18013
06/06/2022,143368
07/06/2022,137686
08/06/2022,141319
09/06/2022,139492
10/06/2022,151676
11/06/2022,38599
12/06/2022,17120
13/06/2022,135216
14/06/2022,144165
15/06/2022,142260
16/06/2022,149989
17/06/2022,24074
18/06/2022,26898
19/06/2022,1393
20/06/2022,18018
21/06/2022,114440
22/06/2022,110305
23/06/2022,107935
24/06/2022,117359
25/06/2022,29509
26/06/2022,17891
27/06/2022,65745
28/06/2022,100738
29/06/2022,99782
30/06/2022,99942
01/07/2022,101489
02/07/2022,26898
03/07/2022,14499
04/07/2022,88127
05/07/2022,91631
06/07/2022,92049
07/07/2022,92139
08/07/2022,92524
09/07/2022,20437
10/07/2022,12944
11/07/2022,76191
12/07/2022,80009
13/07/2022,78614
14/07/2022,75805
15/07/2022,68975
16/07/2022,15561
17/07/2022,9334
18/07/2022,64762
19/07/2022,73145
20/07/2022,62116
21/07/2022,64512
22/07/2022,72989
23/07/2022,14508
24/07/2022,6325
25/07/2022,52312
26/07/2022,64580
27/07/2022,61504
28/07/2022,64853
29/07/2022,74987
30/07/2022,15465
31/07/2022,6762
01/08/2022,46536
02/08/2022,48487
03/08/2022,45122
04/08/2022,42552
05/08/2022,56200
06/08/2022,10007
07/08/2022,4632
08/08/2022,47796
09/08/2022,48253
10/08/2022,50266
11/08/2022,49593
12/08/2022,56414
13/08/2022,11098
14/08/2022,4813
15/08/2022,6304
16/08/2022,43836
17/08/2022,44669
18/08/2022,45432
19/08/2022,44991
20/08/2022,8621
21/08/2022,3003
22/08/2022,42257
23/08/2022,41116
24/08/2022,42761
25/08/2022,38009
26/08/2022,39827
27/08/2022,7282
28/08/2022,3069
29/08/2022,33510
30/08/2022,31032
31/08/2022,31383
01/09/2022,27646
02/09/2022,6003
03/09/2022,5945
04/09/2022,1985
05/09/2022,28815
06/09/2022,30717
07/09/2022,29148
